"Povpreène meseène bruto plaèe v javnem in zasebnem sektorju po: SEKTOR,"
"SPOL, LETO , DOSEŽENA IZOBRAZBA"

" ";" ";"2010";" ";" ";" ";"2011";" ";" ";" ";"2012";" ";" ";" ";"2013";" ";" ";" ";"2014";" ";" ";" ";"2015";" ";" ";" ";"2016";" ";" ";" "
" ";" ";"Izobrazba - Skupaj";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Izobrazba - Skupaj";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Izobrazba - Skupaj";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Izobrazba - Skupaj";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Izobrazba - Skupaj";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Izobrazba - Skupaj";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Izobrazba - Skupaj";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska"
"1 Javni in zasebni sektor - SKUPAJ"
" ";"Spol - SKUPAJ";1538;952;1265;2375;1582;993;1287;2375;1601;1022;1301;2347;1598;1037;1302;2292;1637;1068;1334;2311;1652;1087;1346;2313;1686;1103;1365;2334
" ";"Moški";1564;1003;1316;2661;1617;1052;1345;2657;1639;1088;1363;2633;1639;1108;1364;2568;1678;1143;1400;2569;1698;1170;1418;2579;1733;1189;1438;2596
" ";"Ženske";1506;873;1189;2164;1542;909;1202;2171;1555;929;1210;2144;1551;940;1209;2097;1589;964;1232;2125;1598;973;1233;2123;1631;987;1249;2147
"11 Javni sektor - SKUPAJ"
" ";"Spol - SKUPAJ";1824;1007;1415;2369;1870;1012;1425;2362;1843;1033;1425;2311;1823;1039;1409;2252;1863;1066;1450;2283;1859;1060;1439;2281;1909;1067;1459;2318
" ";"Moški";1931;1150;1508;2710;2016;1196;1542;2695;1975;1220;1546;2635;1965;1230;1536;2582;2003;1269;1586;2593;2008;1277;1590;2613;2071;1287;1620;2642
" ";"Ženske";1749;904;1325;2196;1776;915;1323;2196;1754;914;1310;2149;1732;917;1294;2095;1769;940;1318;2129;1761;922;1294;2123;1806;946;1312;2163
"12 Zasebni sektor - SKUPAJ"
" ";"Spol - SKUPAJ";1383;939;1205;2383;1430;989;1237;2392;1462;1020;1253;2396;1472;1037;1262;2342;1506;1068;1290;2347;1536;1094;1312;2352;1562;1112;1332;2354
" ";"Moški";1432;981;1258;2621;1482;1035;1293;2626;1513;1068;1309;2630;1523;1089;1317;2557;1556;1123;1347;2549;1588;1153;1370;2555;1616;1176;1392;2563
" ";"Ženske";1302;861;1112;2104;1344;907;1138;2124;1380;934;1153;2134;1391;950;1162;2101;1424;974;1184;2116;1451;995;1199;2121;1473;1004;1215;2117

"Vir: Statistièni urad Republike Slovenije."

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8153 target=_blank) Metodološka pojasnila"

"Podatki za leto 2017 so zaèasni."

